year,marital,age,race,rincome,partyid,relig,denom,tvhours
2006,Never married,23,White,$4000 to 4999,other party,Catholic,Not applicable,2
2006,Never married,43,Black,$15000 - 19999,democrat,Protestant,Baptist-dk which,NA
2006,Never married,32,White,$10000 - 14999,republican,Catholic,Not applicable,4
2006,Never married,29,Black,$7000 to 7999,other party,Protestant,Other,0
2006,Never married,20,Black,$8000 to 9999,democrat,Protestant,Other,5
2006,Married,52,White,Not applicable,democrat,Protestant,Other,2
2006,Never married,75,White,Not applicable,other party,Catholic,Not applicable,NA
2006,Divorced,60,White,Not applicable,democrat,Jewish,Not applicable,1
2006,Married,38,White,$25000 or more,democrat,Catholic,Not applicable,NA
2006,Married,39,White,$25000 or more,democrat,None,Not applicable,0
2006,Married,39,White,$25000 or more,other party,None,Not applicable,2
2006,Never married,29,Other,$25000 or more,democrat,None,Not applicable,1
2006,Never married,31,Black,$25000 or more,democrat,Protestant,Other methodist,2
2006,Married,35,White,$25000 or more,other party,Orthodox-christian,Not applicable,NA
2006,Married,20,Other,$3000 to 3999,other party,None,Not applicable,5
2006,Married,49,White,Not applicable,other party,Catholic,Not applicable,NA
2006,Never married,26,White,Not applicable,democrat,Catholic,Not applicable,6
2006,Never married,37,White,Not applicable,democrat,Catholic,Not applicable,NA
2006,Widowed,66,White,Don't know,democrat,Catholic,Not applicable,NA
2006,Widowed,67,White,Not applicable,democrat,Catholic,Not applicable,5
2006,Widowed,67,White,Not applicable,democrat,Catholic,Not applicable,NA
2006,Divorced,37,White,$10000 - 14999,republican,Protestant,No denomination,1
2006,Never married,30,White,$25000 or more,democrat,Protestant,Other,NA
2006,Widowed,70,White,Refused,republican,Catholic,Not applicable,NA
2006,Widowed,77,Black,Not applicable,republican,Protestant,Other,3
2006,Never married,36,White,$25000 or more,democrat,None,Not applicable,NA
2006,Separated,75,White,Not applicable,democrat,Catholic,Not applicable,NA
2006,Married,58,White,Not applicable,republican,Protestant,No denomination,NA
2006,Married,42,Other,Not applicable,democrat,Catholic,Not applicable,2
2006,Married,35,White,$25000 or more,democrat,Catholic,Not applicable,NA
2006,Separated,40,Black,$25000 or more,democrat,Protestant,Other,NA
2006,Married,51,White,$25000 or more,republican,Catholic,Not applicable,NA
2006,Married,54,White,$25000 or more,republican,Catholic,Not applicable,NA
2006,Divorced,77,White,Not applicable,other party,Protestant,United methodist,NA
2006,Married,44,White,Not applicable,other party,Catholic,Not applicable,NA
2006,Divorced,NA,White,$25000 or more,democrat,None,Not applicable,NA
2006,Married,57,White,$25000 or more,democrat,Catholic,Not applicable,4
2006,Divorced,44,Other,Not applicable,other party,Catholic,Not applicable,5
2006,Married,51,White,$25000 or more,republican,Catholic,Not applicable,3
2006,Married,34,Other,$25000 or more,other party,None,Not applicable,NA
2006,Married,28,White,$25000 or more,republican,Catholic,Not applicable,NA
2006,Married,58,White,Not applicable,other party,Catholic,Not applicable,2
2006,Married,35,Other,$25000 or more,democrat,Catholic,Not applicable,2
2006,Married,39,White,Not applicable,other party,Catholic,Not applicable,NA
2006,Widowed,83,White,Not applicable,democrat,Catholic,Not applicable,NA
2006,Never married,32,White,$25000 or more,republican,Catholic,Not applicable,1
2006,Married,29,White,$25000 or more,republican,Catholic,Not applicable,NA
2006,Married,53,White,$25000 or more,republican,Protestant,Other,2
2006,Never married,31,White,$10000 - 14999,democrat,Catholic,Not applicable,10
2006,Never married,34,White,$25000 or more,democrat,None,Not applicable,NA
2006,Married,40,Other,$4000 to 4999,other party,Catholic,Not applicable,NA
2006,Never married,27,White,$25000 or more,democrat,None,Not applicable,2
2006,Married,35,White,$25000 or more,republican,Catholic,Not applicable,NA
2006,Married,43,White,$25000 or more,republican,Catholic,Not applicable,NA
2006,Never married,50,White,$25000 or more,other party,Catholic,Not applicable,NA
2006,Married,38,White,$25000 or more,democrat,Orthodox-christian,Not applicable,NA
2006,Married,54,White,$25000 or more,other party,Catholic,Not applicable,NA
2006,Never married,39,Other,$25000 or more,other party,Catholic,Not applicable,3
2006,Married,32,White,$25000 or more,democrat,Catholic,Not applicable,NA
2006,Never married,26,Other,$20000 - 24999,democrat,Catholic,Not applicable,1
2006,Never married,23,White,$10000 - 14999,other party,Catholic,Not applicable,1
2006,Married,39,Black,$25000 or more,democrat,None,Not applicable,0
2006,Married,38,Black,$25000 or more,democrat,Protestant,Am bapt ch in usa,NA
2006,Never married,50,White,$25000 or more,democrat,Protestant,United methodist,5
2006,Never married,56,Black,Refused,democrat,Protestant,Am baptist asso,2
2006,Never married,31,Black,$25000 or more,democrat,Protestant,Afr meth episcopal,2
2006,Never married,60,White,Refused,republican,Catholic,Not applicable,2
2006,Never married,32,White,$25000 or more,democrat,None,Not applicable,NA
2006,Married,68,White,Not applicable,democrat,Jewish,Not applicable,NA
2006,Separated,48,White,Refused,democrat,None,Not applicable,NA
2006,Widowed,NA,White,$20000 - 24999,democrat,Jewish,Not applicable,NA
2006,Married,60,White,$20000 - 24999,republican,Catholic,Not applicable,NA
2006,Divorced,58,White,$25000 or more,republican,Catholic,Not applicable,NA
2006,Married,58,White,Refused,republican,Catholic,Not applicable,NA
2006,Never married,25,White,$25000 or more,democrat,Catholic,Not applicable,NA
2006,Married,49,White,$6000 to 6999,other party,Catholic,Not applicable,3
2006,Never married,22,White,Not applicable,democrat,Catholic,Not applicable,1
2006,Married,86,White,Not applicable,democrat,Protestant,Other,4
2006,Married,51,White,Refused,republican,Catholic,Not applicable,NA
2006,Married,58,White,$25000 or more,republican,Catholic,Not applicable,NA
2006,Married,89,White,Not applicable,democrat,Catholic,Not applicable,1
2006,Widowed,82,White,Not applicable,democrat,Catholic,Not applicable,1
2006,Married,34,White,$25000 or more,other party,Catholic,Not applicable,3
2006,Separated,41,White,$25000 or more,democrat,None,Not applicable,1
2006,Divorced,63,White,$25000 or more,democrat,None,Not applicable,NA
2006,Married,50,White,$25000 or more,democrat,Catholic,Not applicable,1
2006,Married,43,White,Not applicable,democrat,None,Not applicable,NA
2006,Married,66,White,Not applicable,democrat,Catholic,Not applicable,2
2006,Never married,24,White,$25000 or more,democrat,Catholic,Not applicable,NA
2006,Never married,89,White,Not applicable,republican,Protestant,Methodist-dk which,1
2006,Married,31,White,$25000 or more,republican,Catholic,Not applicable,NA
2006,Married,44,White,$25000 or more,republican,Catholic,Not applicable,NA
2006,Married,52,White,Not applicable,other party,No answer,No answer,1
2006,Married,34,White,$25000 or more,democrat,None,Not applicable,2
2006,Married,64,White,Not applicable,republican,Catholic,Not applicable,3
2006,Married,73,White,Not applicable,republican,Catholic,Not applicable,2
2006,Never married,39,White,$25000 or more,republican,Protestant,No denomination,1
2006,Married,58,White,$25000 or more,republican,Catholic,Not applicable,NA
2006,Married,41,Other,Not applicable,democrat,Protestant,Other,1
2006,Married,49,White,$25000 or more,republican,Catholic,Not applicable,NA
2006,Married,40,Other,Not applicable,democrat,Catholic,Not applicable,4
2006,Divorced,53,White,$25000 or more,democrat,Jewish,Not applicable,1
2006,Never married,58,White,Not applicable,democrat,Catholic,Not applicable,NA
2006,Married,71,White,$6000 to 6999,democrat,None,Not applicable,0
2006,Widowed,80,White,Not applicable,democrat,Protestant,Episcopal,4
2006,Married,41,Other,$10000 - 14999,republican,Catholic,Not applicable,NA
2006,Married,34,White,$25000 or more,other party,Catholic,Not applicable,NA
2006,Married,49,Other,$25000 or more,democrat,Moslem/islam,Not applicable,2
2006,Married,51,Black,$25000 or more,other party,Protestant,Southern baptist,5
2006,Separated,49,White,$8000 to 9999,democrat,Other,Not applicable,4
2006,Widowed,74,White,Not applicable,republican,Catholic,Not applicable,NA
2006,Married,39,White,Not applicable,republican,Protestant,Other,NA
2006,Widowed,53,White,$6000 to 6999,republican,Catholic,Not applicable,NA
2006,Never married,18,Other,Not applicable,other party,None,Not applicable,NA
2006,Married,58,White,Not applicable,other party,Protestant,No denomination,NA
2006,Divorced,65,Other,$20000 - 24999,republican,Catholic,Not applicable,3
2006,Divorced,79,White,Not applicable,republican,None,Not applicable,NA
2006,Married,57,White,$25000 or more,other party,None,Not applicable,NA
2006,Married,32,Other,$25000 or more,other party,None,Not applicable,1
2006,Married,81,White,Not applicable,democrat,Protestant,No denomination,NA
2006,Married,33,Other,$15000 - 19999,democrat,Catholic,Not applicable,2
2006,Never married,36,Other,$25000 or more,democrat,Catholic,Not applicable,NA
2006,Married,31,White,$25000 or more,other party,None,Not applicable,NA
2006,Married,36,Other,$25000 or more,democrat,None,Not applicable,NA
2006,Married,41,White,$10000 - 14999,other party,Catholic,Not applicable,NA
2006,Married,25,Other,$20000 - 24999,republican,Catholic,Not applicable,6
2006,Separated,66,White,$10000 - 14999,democrat,Catholic,Not applicable,NA
2006,Married,32,White,Not applicable,republican,Protestant,Southern baptist,NA
2006,Divorced,NA,White,$25000 or more,republican,Protestant,Other,1
2006,Never married,52,White,$25000 or more,republican,Protestant,Presbyterian-dk wh,NA
2006,Divorced,43,Other,$25000 or more,republican,Catholic,Not applicable,2
2006,Married,58,White,Refused,democrat,None,Not applicable,2
2006,Married,76,White,Not applicable,republican,Protestant,No denomination,2
2006,Married,40,White,$25000 or more,democrat,Protestant,No denomination,2
2006,Married,67,Other,$25000 or more,democrat,Catholic,Not applicable,1
2006,Married,25,Other,Not applicable,other party,Catholic,Not applicable,NA
2006,Married,29,Other,$25000 or more,other party,Catholic,Not applicable,NA
2006,Never married,31,Other,Not applicable,other party,Catholic,Not applicable,NA
2006,Widowed,50,White,$25000 or more,other party,Catholic,Not applicable,NA
2006,Never married,52,White,$20000 - 24999,democrat,None,Not applicable,NA
2006,Widowed,89,White,Not applicable,democrat,Protestant,Other,NA
2006,Married,71,White,Not applicable,democrat,Protestant,Am lutheran,NA
2006,Widowed,78,White,Not applicable,other party,Protestant,No denomination,1
2006,Married,73,White,Not applicable,other party,Protestant,United methodist,3
2006,Widowed,66,Other,Not applicable,republican,Catholic,Not applicable,5
2006,Married,42,White,Refused,republican,Protestant,Am baptist asso,2
2006,Divorced,51,Black,$25000 or more,other party,Protestant,Southern baptist,NA
2006,Married,75,White,$20000 - 24999,republican,Protestant,No denomination,1
2006,Divorced,45,White,$10000 - 14999,republican,Christian,No denomination,1
2006,Married,58,White,$25000 or more,democrat,Protestant,Other,NA
2006,Married,65,Other,Not applicable,democrat,Protestant,Other baptists,NA
2006,Married,51,White,$25000 or more,democrat,Protestant,United methodist,1
2006,Married,49,White,$20000 - 24999,republican,Protestant,No denomination,2
2006,Divorced,55,White,Not applicable,democrat,Catholic,Not applicable,NA
2006,Married,55,White,$7000 to 7999,republican,Protestant,No denomination,NA
2006,Divorced,50,White,$25000 or more,republican,None,Not applicable,NA
2006,Never married,31,White,$20000 - 24999,democrat,None,Not applicable,NA
2006,Married,54,White,$25000 or more,republican,Jewish,Not applicable,4
2006,Married,54,Other,Refused,other party,None,Not applicable,2
2006,Divorced,55,White,$25000 or more,democrat,Jewish,Not applicable,0
2006,Married,64,White,Not applicable,republican,Protestant,No denomination,NA
2006,Married,72,White,Not applicable,republican,Orthodox-christian,Not applicable,2
2006,Married,34,White,$25000 or more,democrat,Jewish,Not applicable,NA
2006,Married,37,White,$25000 or more,democrat,None,Not applicable,1
2006,Never married,37,White,$25000 or more,democrat,Catholic,Not applicable,NA
2006,Married,38,White,$25000 or more,democrat,None,Not applicable,NA
2006,Married,58,White,Not applicable,republican,Protestant,No denomination,3
2006,Divorced,52,White,Not applicable,democrat,Protestant,Wi evan luth synod,5
2006,Divorced,49,Other,$25000 or more,democrat,Catholic,Not applicable,NA
2006,Married,36,Other,$20000 - 24999,republican,Catholic,Not applicable,NA
2006,Separated,61,Other,Not applicable,democrat,Catholic,Not applicable,6
2006,Divorced,55,Black,Not applicable,democrat,Protestant,No denomination,NA
2006,Never married,44,Other,$3000 to 3999,republican,Catholic,Not applicable,3
2006,Never married,22,Other,$15000 - 19999,democrat,Catholic,Not applicable,NA
2006,Married,33,Other,$25000 or more,democrat,Catholic,Not applicable,2
2006,Married,74,White,Not applicable,republican,Protestant,Baptist-dk which,NA
2006,Separated,48,Other,Not applicable,democrat,Protestant,No denomination,NA
2006,Never married,18,Other,$1000 to 2999,republican,Catholic,Not applicable,NA
2006,Married,42,Other,$20000 - 24999,republican,Catholic,Not applicable,4
2006,Married,49,White,$20000 - 24999,other party,Catholic,Not applicable,NA
2006,Never married,26,Other,No answer,democrat,No answer,No answer,NA
2006,Married,40,Other,$15000 - 19999,republican,Protestant,Other,NA
2006,Married,41,Other,$25000 or more,democrat,Catholic,Not applicable,3
2006,Married,41,Other,$25000 or more,democrat,Catholic,Not applicable,NA
2006,Never married,23,Black,$10000 - 14999,other party,Protestant,Other,NA
2006,Divorced,66,Black,$25000 or more,democrat,None,Not applicable,4
2006,Never married,27,White,Not applicable,republican,Catholic,Not applicable,2
2006,Married,22,Other,$6000 to 6999,democrat,Catholic,Not applicable,0
2006,Married,33,Other,Not applicable,republican,Protestant,Other,2
2006,Never married,27,White,$25000 or more,democrat,Other,Not applicable,NA
2006,Married,46,White,$20000 - 24999,other party,Protestant,No denomination,NA
2006,Never married,25,Other,Not applicable,other party,Catholic,Not applicable,NA
2006,Never married,37,Other,$10000 - 14999,democrat,Catholic,Not applicable,1
2006,Divorced,40,Other,Refused,republican,Catholic,Not applicable,4
2006,Married,30,Other,$25000 or more,democrat,None,Not applicable,1
2006,Married,28,Other,$25000 or more,democrat,Protestant,Other,4
2006,Married,29,Other,$25000 or more,democrat,Catholic,Not applicable,1
2006,Married,29,Other,$25000 or more,democrat,Catholic,Not applicable,NA
2006,Married,36,Other,$25000 or more,democrat,Catholic,Not applicable,3
2006,Never married,75,White,Not applicable,democrat,Catholic,Not applicable,NA
2006,Never married,22,Other,$15000 - 19999,democrat,Catholic,Not applicable,2
2006,Married,31,Other,$25000 or more,republican,Hinduism,Not applicable,3
2006,Divorced,77,Black,Not applicable,other party,None,Not applicable,6
2006,Married,39,Other,Not applicable,other party,Catholic,Not applicable,2
2006,Never married,40,Black,Not applicable,democrat,Protestant,No denomination,NA
2006,Divorced,67,White,No answer,democrat,Catholic,Not applicable,NA
2006,Divorced,66,White,Not applicable,other party,None,Not applicable,1
2006,Married,54,White,$3000 to 3999,other party,None,Not applicable,NA
2006,Married,33,White,Not applicable,other party,Catholic,Not applicable,3
2006,Separated,49,Other,$25000 or more,other party,Catholic,Not applicable,NA
2006,Never married,53,White,$15000 - 19999,republican,Protestant,Baptist-dk which,NA
2006,Never married,32,White,$20000 - 24999,democrat,None,Not applicable,NA
2006,Never married,58,White,$25000 or more,democrat,Buddhism,Not applicable,2
2006,Never married,31,Other,$25000 or more,democrat,Catholic,Not applicable,4
2006,Married,62,White,Not applicable,other party,Catholic,Not applicable,NA
2006,Married,43,White,$25000 or more,republican,Protestant,Presbyterian-dk wh,1
2006,Married,55,White,$25000 or more,democrat,Christian,No denomination,4
2006,Divorced,45,Other,$25000 or more,republican,Protestant,Other,NA
2006,Married,57,White,Not applicable,democrat,Protestant,No denomination,NA
2006,Married,37,White,$10000 - 14999,democrat,Christian,No denomination,NA
2006,Widowed,88,White,Not applicable,republican,Protestant,Don't know,NA
2006,Married,54,White,$15000 - 19999,democrat,None,Not applicable,NA
2006,Never married,44,White,Lt $1000,other party,Other,Not applicable,NA
2006,Married,46,White,Not applicable,republican,Catholic,Not applicable,NA
2006,Married,26,White,$25000 or more,democrat,Catholic,Not applicable,1
2006,Widowed,68,White,Not applicable,republican,Catholic,Not applicable,4
2006,Never married,18,Other,Not applicable,democrat,Catholic,Not applicable,0
2006,Married,56,White,Not applicable,democrat,Catholic,Not applicable,4
2006,Never married,23,Black,Not applicable,democrat,Protestant,No denomination,NA
2006,Never married,28,White,Not applicable,other party,None,Not applicable,1
2006,Divorced,77,White,Not applicable,republican,None,Not applicable,2
2006,Married,39,White,$10000 - 14999,republican,Protestant,Other,NA
2006,Never married,26,Other,$20000 - 24999,republican,Protestant,Other,2
2006,Never married,38,White,$25000 or more,democrat,Catholic,Not applicable,14
2006,Widowed,63,Other,Not applicable,other party,Christian,No denomination,6
2006,Never married,30,Other,$25000 or more,other party,None,Not applicable,1
2006,Divorced,67,White,Not applicable,other party,Jewish,Not applicable,5
2006,Never married,NA,White,No answer,democrat,Catholic,Not applicable,3
2006,Never married,26,White,$25000 or more,democrat,None,Not applicable,0
2006,Never married,37,Other,$25000 or more,other party,Catholic,Not applicable,2
2006,Never married,37,Black,Not applicable,democrat,Protestant,No denomination,4
2006,Divorced,62,White,$25000 or more,democrat,Catholic,Not applicable,2
2006,Never married,22,White,Not applicable,republican,None,Not applicable,NA
2006,Separated,46,White,$7000 to 7999,democrat,None,Not applicable,3
2006,Divorced,55,Black,$25000 or more,democrat,Protestant,Baptist-dk which,1
2006,Never married,32,Other,$25000 or more,democrat,Catholic,Not applicable,1
2006,Never married,24,White,Not applicable,democrat,None,Not applicable,NA
2006,Never married,38,White,$25000 or more,democrat,None,Not applicable,NA
2006,Divorced,56,White,$25000 or more,democrat,None,Not applicable,NA
2006,Never married,38,Black,$25000 or more,democrat,None,Not applicable,NA
2006,Never married,23,White,Not applicable,other party,None,Not applicable,1
2006,Married,28,Other,Not applicable,other party,Catholic,Not applicable,NA
2006,Never married,30,White,$10000 - 14999,democrat,Catholic,Not applicable,NA
2006,Divorced,50,White,$20000 - 24999,democrat,Catholic,Not applicable,NA
2006,Never married,36,White,$25000 or more,republican,Catholic,Not applicable,NA
2006,Married,48,Other,$15000 - 19999,democrat,Catholic,Not applicable,2
2006,Married,23,Other,$25000 or more,democrat,Catholic,Not applicable,NA
2006,Married,28,Other,Not applicable,democrat,Catholic,Not applicable,NA
2006,Never married,32,Other,$15000 - 19999,other party,Catholic,Not applicable,NA
2006,Never married,37,Other,$15000 - 19999,democrat,Catholic,Not applicable,4
2006,Married,34,Other,$10000 - 14999,democrat,Catholic,Not applicable,NA
2006,Never married,22,Other,$20000 - 24999,democrat,Catholic,Not applicable,NA
2006,Married,20,Other,$15000 - 19999,democrat,Catholic,Not applicable,2
2006,Married,64,Other,$10000 - 14999,other party,Catholic,Not applicable,NA
2006,Married,71,Black,Not applicable,democrat,Protestant,Nat bapt conv usa,2
2006,Divorced,59,Black,$25000 or more,democrat,Protestant,Other,6
2006,Never married,36,Black,$25000 or more,democrat,None,Not applicable,NA
2006,Married,31,Black,$25000 or more,democrat,None,Not applicable,NA
2006,Married,34,Black,$25000 or more,democrat,Protestant,Baptist-dk which,2
2006,Widowed,59,Black,$25000 or more,democrat,Protestant,Southern baptist,4
2006,Widowed,83,Black,Not applicable,democrat,Protestant,Other,2
2006,Married,37,Other,Not applicable,republican,Protestant,United methodist,3
2006,Married,25,Other,$8000 to 9999,other party,Catholic,Not applicable,NA
2006,Never married,32,Black,$25000 or more,democrat,None,Not applicable,4
2006,Never married,27,Other,$25000 or more,other party,Moslem/islam,Not applicable,2
2006,Married,56,White,$25000 or more,democrat,None,Not applicable,0
2006,Married,61,Other,$25000 or more,democrat,Protestant,Presbyterian-dk wh,NA
2006,Never married,28,Other,$20000 - 24999,other party,No answer,No answer,NA
2006,Married,68,Other,$15000 - 19999,democrat,Catholic,Not applicable,NA
2006,Never married,24,Other,$8000 to 9999,other party,Protestant,Other,NA
2006,Married,69,Other,$25000 or more,democrat,Catholic,Not applicable,NA
2006,Married,53,Other,$15000 - 19999,other party,Catholic,Not applicable,NA
2006,Married,21,Other,$10000 - 14999,other party,Catholic,Not applicable,NA
2006,Married,36,Other,$10000 - 14999,other party,Catholic,Not applicable,NA
2006,Married,32,Other,$25000 or more,republican,Catholic,Not applicable,NA
2006,Married,27,Other,Not applicable,republican,Catholic,Not applicable,NA
2006,Divorced,65,White,$25000 or more,democrat,Protestant,Am lutheran,1
2006,Married,29,Other,Not applicable,democrat,Catholic,Not applicable,4
2006,Divorced,62,White,$25000 or more,democrat,Catholic,Not applicable,NA
2006,Married,36,Other,Not applicable,other party,Catholic,Not applicable,4
2006,Never married,22,Other,$8000 to 9999,other party,Catholic,Not applicable,5
2006,Separated,35,White,$25000 or more,republican,None,Not applicable,2
2006,Divorced,49,Black,$20000 - 24999,democrat,Protestant,Nat bapt conv of am,5
2006,Never married,18,Other,Lt $1000,democrat,Catholic,Not applicable,NA
2006,Married,26,Black,$25000 or more,democrat,Protestant,Baptist-dk which,NA
2006,Married,47,Black,$25000 or more,democrat,Protestant,Baptist-dk which,NA
2006,Married,48,Black,Refused,other party,Catholic,Not applicable,3
2006,Never married,27,White,$25000 or more,democrat,Jewish,Not applicable,3
2006,Never married,23,White,$20000 - 24999,other party,Catholic,Not applicable,2
2006,Never married,43,White,$25000 or more,republican,Protestant,Episcopal,2
2006,Never married,32,White,$25000 or more,democrat,Protestant,No denomination,NA
2006,Separated,44,Black,$20000 - 24999,republican,Protestant,Southern baptist,NA
2006,Never married,21,White,$5000 to 5999,democrat,Jewish,Not applicable,0
2006,Divorced,43,Black,Refused,democrat,Protestant,No denomination,NA
2006,Married,28,White,$25000 or more,democrat,Catholic,Not applicable,NA
2006,Married,36,Black,$25000 or more,republican,Protestant,Baptist-dk which,1
2006,Divorced,42,Other,$25000 or more,democrat,Catholic,Not applicable,5
