token,pos
",",PUNCT
Amory,NOUN
",",PUNCT
"""",PUNCT
she,PRON
would,AUX
sigh,INTJ
",",PUNCT
her,PRON
face,VERB
a,DET
rare,ADJ
cameo,NOUN
of,ADP
pathos,NOUN
",",PUNCT
her,PRON
voice,NOUN
exquisitely,ADV
modulated,VERB
",",PUNCT
her,PRON
hands,NOUN
as,ADP
facile,NOUN
as,ADP
Bernhardt,PROPN
's,PART
.,PUNCT
"""",PUNCT
My,PRON
nerves,NOUN
are,AUX
on,ADP
edge,NOUN
--,PUNCT
on,ADP
edge,NOUN
.,PUNCT
We,PRON
must,AUX
leave,VERB
this,PRON
terrifying,VERB
place,NOUN
to,ADP
-,PUNCT
morrow,NOUN
and,CCONJ
go,VERB
searching,VERB
for,ADP
sunshine,NOUN
.,PUNCT
"""",PUNCT
Amory,PROPN
's,AUX
penetrating,VERB
green,ADJ
eyes,NOUN
would,AUX
look,VERB
out,ADP
through,ADP
tangled,VERB
hair,NOUN
at,ADP
his,PRON
mother,NOUN
.,PUNCT
Even,ADV
at,ADP
this,DET
age,NOUN
he,PRON
had,VERB
no,DET
illusions,NOUN
about,ADP
her,PRON
.,PUNCT
"""",PUNCT
Amory,PROPN
.,PUNCT
"""",PUNCT
"""",PUNCT
Oh,INTJ
",",PUNCT
_,SYM
yes,INTJ
_.,PUNCT
"""",PUNCT
"""",PUNCT
I,PRON
want,VERB
you,PRON
to,PART
take,VERB
a,DET
red,ADV
-,PUNCT
hot,ADJ
bath,NOUN
as,ADV
hot,ADJ
as,SCONJ
you,PRON
can,AUX
bear,VERB
it,PRON
",",PUNCT
and,CCONJ
just,ADV
relax,VERB
your,PRON
nerves,NOUN
.,PUNCT
You,PRON
can,AUX
read,VERB
in,ADP
the,DET
tub,NOUN
if,SCONJ
you,PRON
wish,VERB
.,PUNCT
"""",PUNCT
She,PRON
fed,VERB
him,PRON
sections,NOUN
of,ADP
the,DET
"""",PUNCT
Fetes,PROPN
Galantes,PROPN
"""",PUNCT
before,SCONJ
he,PRON
was,AUX
ten,VERB
;,PUNCT
at,ADP
eleven,ADV
he,PRON
could,AUX
talk,VERB
glibly,ADV
",",PUNCT
if,SCONJ
rather,ADV
reminiscently,ADV
",",PUNCT
of,ADP
Brahms,NOUN
and,CCONJ
Mozart,PROPN
and,CCONJ
Beethoven,PROPN
.,PUNCT
One,NUM
afternoon,NOUN
",",PUNCT
when,ADV
left,VERB
alone,ADV
in,ADP
the,DET
hotel,NOUN
at,ADP
Hot,ADJ
Springs,NOUN
",",PUNCT
he,PRON
sampled,VERB
his,PRON
mother,NOUN
's,PART
apricot,NOUN
cordial,NOUN
",",PUNCT
and,CCONJ
as,ADP
the,DET
taste,NOUN
pleased,VERB
him,PRON
",",PUNCT
he,PRON
became,VERB
quite,DET
tipsy,NOUN
.,PUNCT
This,PRON
was,AUX
fun,ADJ
for,ADP
a,DET
while,NOUN
",",PUNCT
but,CCONJ
he,PRON
essayed,VERB
a,DET
cigarette,NOUN
in,ADP
his,PRON
exaltation,NOUN
",",PUNCT
and,CCONJ
succumbed,VERB
to,ADP
a,DET
vulgar,NOUN
",",PUNCT
plebeian,ADJ
reaction,NOUN
.,PUNCT
Though,SCONJ
this,DET
incident,NOUN
horrified,VERB
Beatrice,PROPN
",",PUNCT
it,PRON
also,ADV
secretly,ADV
amused,VERB
her,PRON
and,CCONJ
became,VERB
part,NOUN
of,ADP
what,PRON
in,ADP
a,DET
later,ADJ
generation,NOUN
would,AUX
have,AUX
been,AUX
termed,VERB
her,PRON
"""",PUNCT
line,NOUN
.,PUNCT
"""",PUNCT
"""",PUNCT
This,DET
son,NOUN
of,ADP
mine,PRON
",",PUNCT
"""",PUNCT
he,PRON
heard,VERB
her,PRON
tell,VERB
a,DET
room,NOUN
full,ADJ
of,ADP
awestruck,NOUN
",",PUNCT
admiring,VERB
women,NOUN
one,NUM
day,NOUN
",",PUNCT
"""",PUNCT
is,AUX
entirely,ADV
sophisticated,VERB
and,CCONJ
quite,DET
charming,NOUN
--,PUNCT
but,CCONJ
delicate,ADJ
--,PUNCT
we,PRON
're,AUX
all,ADV
delicate,ADJ
;,PUNCT
_here_,SYM
",",PUNCT
you,PRON
know,VERB
.,PUNCT
"""",PUNCT
Her,PRON
hand,NOUN
was,AUX
radiantly,ADV
outlined,VERB
against,ADP
her,PRON
beautiful,ADJ
bosom,NOUN
;,PUNCT
then,ADV
sinking,VERB
her,PRON
voice,NOUN
to,ADP
a,DET
whisper,ADV
",",PUNCT
she,PRON
told,VERB
them,PRON
of,ADP
the,DET
apricot,ADJ
cordial,NOUN
.,PUNCT
They,PRON
rejoiced,VERB
",",PUNCT
for,ADP
she,PRON
was,AUX
a,DET
brave,ADJ
raconteuse,NOUN
",",PUNCT
but,CCONJ
many,ADJ
were,AUX
the,DET
keys,NOUN
turned,VERB
in,ADP
sideboard,ADJ
locks,NOUN
that,DET
night,NOUN
against,ADP
the,DET
possible,ADJ
defection,NOUN
of,ADP
little,ADJ
Bobby,PROPN
or,CCONJ
Barbara,PROPN
....,PUNCT
These,DET
domestic,ADJ
pilgrimages,NOUN
were,AUX
invariably,ADV
in,ADP
state,NOUN
;,PUNCT
two,NUM
maids,NOUN
",",PUNCT
the,DET
private,ADJ
car,NOUN
",",PUNCT
or,CCONJ
Mr.,PROPN
Blaine,PROPN
when,ADV
available,ADJ
",",PUNCT
and,CCONJ
very,ADV
often,ADV
a,DET
physician,NOUN
.,PUNCT
When,ADV
Amory,PROPN
had,VERB
the,DET
whooping,NOUN
-,PUNCT
cough,NOUN
four,NUM
disgusted,ADJ
specialists,NOUN
glared,VERB
at,ADP
each,DET
other,ADJ
hunched,VERB
around,ADP
his,PRON
bed,NOUN
;,PUNCT
when,ADV
he,PRON
took,VERB
scarlet,NOUN
fever,NOUN
the,DET
number,NOUN
of,ADP
attendants,NOUN
",",PUNCT
including,VERB
physicians,NOUN
and,CCONJ
nurses,NOUN
",",PUNCT
totalled,VERB
fourteen,NOUN
.,PUNCT
However,ADV
",",PUNCT
blood,NOUN
being,AUX
thicker,ADJ
than,ADP
broth,NOUN
",",PUNCT
he,PRON
was,AUX
pulled,VERB
through,ADV
.,PUNCT
The,DET
Blaines,NOUN
were,AUX
attached,VERB
to,ADP
no,DET
city,NOUN
.,PUNCT
They,PRON
were,AUX
the,DET
Blaines,PROPN
of,ADP
Lake,PROPN
Geneva,PROPN
;,PUNCT
they,PRON
had,VERB
quite,DET
enough,ADJ
relatives,NOUN
to,PART
serve,VERB
in,ADP
place,NOUN
of,ADP
friends,NOUN
",",PUNCT
and,CCONJ
an,DET
enviable,ADJ
standing,NOUN
from,ADP
Pasadena,PROPN
to,ADP
Cape,PROPN
Cod,PROPN
.,PUNCT
But,CCONJ
Beatrice,PROPN
grew,VERB
more,ADJ
and,CCONJ
more,ADV
prone,ADJ
to,PART
like,VERB
only,ADV
new,ADJ
acquaintances,NOUN
",",PUNCT
as,SCONJ
there,PRON
were,VERB
certain,ADJ
stories,NOUN
",",PUNCT
such,ADJ
as,ADP
the,DET
history,NOUN
of,ADP
her,PRON
constitution,NOUN
and,CCONJ
its,PRON
many,ADJ
amendments,NOUN
",",PUNCT
memories,NOUN
of,ADP
her,PRON
years,NOUN
abroad,ADV
",",PUNCT
that,SCONJ
it,PRON
was,AUX
necessary,ADJ
for,ADP
her,PRON
to,PART
repeat,VERB
at,ADP
regular,ADJ
intervals,NOUN
.,PUNCT
Like,ADP
Freudian,ADJ
dreams,NOUN
",",PUNCT
they,PRON
must,AUX
be,AUX
thrown,VERB
off,ADP
",",PUNCT
else,ADV
they,PRON
would,AUX
sweep,VERB
in,ADV
and,CCONJ
lay,VERB
siege,NOUN
to,ADP
her,PRON
nerves,NOUN
.,PUNCT
But,CCONJ
Beatrice,NOUN
was,AUX
critical,ADJ
about,ADP
American,ADJ
women,NOUN
",",PUNCT
especially,ADV
the,DET
floating,NOUN
population,NOUN
of,ADP
ex-Westerners,NOUN
.,PUNCT
"""",PUNCT
They,PRON
have,VERB
accents,NOUN
",",PUNCT
my,PRON
dear,NOUN
",",PUNCT
"""",PUNCT
she,PRON
told,VERB
Amory,PROPN
",",PUNCT
"""",PUNCT
not,ADV
Southern,ADJ
accents,NOUN
or,CCONJ
Boston,PROPN
accents,NOUN
",",PUNCT
not,CCONJ
an,DET
accent,NOUN
attached,VERB
to,ADP
any,DET
locality,NOUN
",",PUNCT
just,ADV
an,DET
accent,NOUN
"""",PUNCT
--,PUNCT
she,PRON
became,VERB
dreamy,NOUN
.,PUNCT
"""",PUNCT
They,PRON
pick,VERB
up,ADP
old,ADJ
",",PUNCT
moth,CCONJ
-,PUNCT
eaten,VERB
London,PROPN
accents,NOUN
that,PRON
are,AUX
down,ADV
on,ADP
their,PRON
luck,NOUN
and,CCONJ
have,VERB
to,PART
be,AUX
used,VERB
by,ADP
some,DET
one,NOUN
.,PUNCT
They,PRON
talk,VERB
as,ADP
an,DET
English,ADJ
butler,NOUN
might,AUX
after,ADP
several,ADJ
years,NOUN
in,ADP
a,DET
Chicago,PROPN
grand,NOUN
-,PUNCT
opera,NOUN
company,NOUN
.,PUNCT
"""",PUNCT
She,PRON
became,VERB
almost,ADV
incoherent,ADJ
--,PUNCT
"""",PUNCT
Suppose,NOUN
--,PUNCT
time,NOUN
in,ADP
every,DET
Western,ADJ
woman,NOUN
's,PART
life,NOUN
--,PUNCT
she,PRON
feels,VERB
her,PRON
husband,NOUN
is,AUX
prosperous,ADJ
enough,ADV
for,ADP
her,PRON
to,PART
have,VERB
--,PUNCT
accent,NOUN
--,PUNCT
they,PRON
try,VERB
to,PART
impress,VERB
_me_,SYM
",",PUNCT
my,PRON
dear,NOUN
"--""",PUNCT
Though,SCONJ
she,PRON
thought,VERB
of,ADP
her,PRON
body,NOUN
as,ADP
a,DET
mass,NOUN
of,ADP
frailties,NOUN
",",PUNCT
she,PRON
considered,VERB
her,PRON
soul,NOUN
quite,ADV
as,ADV
ill,ADJ
",",PUNCT
and,CCONJ
therefore,ADV
important,ADJ
in,ADP
her,PRON
life,NOUN
.,PUNCT
She,PRON
had,VERB
once,ADV
been,AUX
a,DET
Catholic,PROPN
",",PUNCT
but,CCONJ
discovering,VERB
that,SCONJ
priests,NOUN
were,AUX
infinitely,ADV
more,ADJ
attentive,VERB
when,ADV
she,PRON
was,AUX
in,ADP
process,NOUN
of,SCONJ
losing,VERB
or,CCONJ
regaining,VERB
faith,NOUN
in,ADP
Mother,NOUN
Church,PROPN
",",PUNCT
she,PRON
maintained,VERB
an,DET
enchantingly,ADV
wavering,VERB
attitude,NOUN
.,PUNCT
Often,VERB
she,PRON
deplored,VERB
the,DET
bourgeois,NOUN
quality,NOUN
of,ADP
the,DET
American,ADJ
Catholic,PROPN
clergy,NOUN
",",PUNCT
and,CCONJ
was,AUX
quite,DET
sure,ADJ
that,PRON
had,VERB
she,PRON
lived,VERB
in,ADP
the,DET
shadow,NOUN
of,ADP
the,DET
great,ADJ
Continental,PROPN
cathedrals,VERB
her,PRON
soul,NOUN
would,AUX
still,ADV
be,AUX
a,DET
thin,ADJ
flame,NOUN
on,ADP
the,DET
mighty,NOUN
altar,NOUN
of,ADP
Rome,PROPN
.,PUNCT
Still,ADV
",",PUNCT
next,ADJ
to,ADP
doctors,NOUN
",",PUNCT
priests,NOUN
were,AUX
her,PRON
favorite,ADJ
sport,NOUN
.,PUNCT
"""",PUNCT
Ah,INTJ
",",PUNCT
Bishop,PROPN
Wiston,PROPN
",",PUNCT
"""",PUNCT
she,PRON
would,AUX
declare,VERB
",",PUNCT
"""",PUNCT
I,PRON
do,AUX
not,PART
want,VERB
to,PART
talk,VERB
of,ADP
myself,PRON
.,PUNCT
I,PRON
can,AUX
imagine,VERB
the,DET
stream,NOUN
of,ADP
hysterical,ADJ
women,NOUN
fluttering,VERB
at,ADP
your,PRON
doors,NOUN
",",PUNCT
beseeching,VERB
you,PRON
to,PART
be,AUX
simpatico,PROPN
"""",PUNCT
--,PUNCT
then,ADV
after,ADP
an,DET
interlude,NOUN
filled,VERB
by,ADP
the,DET
clergyman,NOUN
--,PUNCT
"""",PUNCT
but,CCONJ
my,PRON
mood,NOUN
--,PUNCT
is,AUX
--,PUNCT
oddly,ADV
dissimilar,ADJ
.,PUNCT
"""",PUNCT
Only,ADV
to,PART
bishops,VERB
and,CCONJ
above,ADV
did,AUX
she,PRON
divulge,VERB
her,PRON
clerical,ADJ
romance,NOUN
.,PUNCT
When,ADV
she,PRON
had,AUX
first,ADV
returned,VERB
to,ADP
her,PRON
country,NOUN
there,ADV
had,AUX
been,AUX
a,DET
pagan,NOUN
",",PUNCT
Swinburnian,PROPN
young,ADJ
man,NOUN
in,ADP
Asheville,PROPN
",",PUNCT
for,ADP
whose,PRON
passionate,ADJ
kisses,NOUN
and,CCONJ
unsentimental,ADJ
conversations,NOUN
she,PRON
had,AUX
taken,VERB
a,DET
decided,VERB
penchant,NOUN
--,PUNCT
they,PRON
had,AUX
discussed,VERB
the,DET
matter,NOUN
pro,NOUN
and,CCONJ
con,NOUN
with,ADP
an,DET
intellectual,ADJ
romancing,NOUN
quite,ADV
devoid,ADJ
of,ADP
sappiness,NOUN
.,PUNCT
Eventually,ADV
she,PRON
had,AUX
decided,VERB
to,PART
marry,VERB
for,ADP
background,NOUN
",",PUNCT
and,CCONJ
the,DET
young,ADJ
pagan,NOUN
from,ADP
Asheville,PROPN
had,AUX
gone,VERB
through,ADP
a,DET
spiritual,ADJ
crisis,NOUN
",",PUNCT
joined,VERB
the,DET
Catholic,PROPN
Church,PROPN
",",PUNCT
and,CCONJ
was,AUX
now,ADV
--,PUNCT
Monsignor,PROPN
Darcy,PROPN
.,PUNCT
"""",PUNCT
Indeed,ADV
",",PUNCT
Mrs.,PROPN
Blaine,PROPN
",",PUNCT
he,PRON
is,AUX
still,ADV
delightful,ADJ
company,NOUN
--,PUNCT
quite,DET
the,DET
cardinal,ADJ
's,PART
right,ADJ
-,PUNCT
hand,NOUN
man,NOUN
.,PUNCT
"""",PUNCT
"""",PUNCT
Amory,NOUN
will,AUX
go,VERB
to,ADP
him,PRON
one,NUM
day,NOUN
",",PUNCT
I,PRON
know,VERB
",",PUNCT
"""",PUNCT
breathed,VERB
the,DET
beautiful,ADJ
lady,NOUN
",",PUNCT
"""",PUNCT
and,CCONJ
Monsignor,PROPN
Darcy,PROPN
will,AUX
understand,VERB
him,PRON
as,SCONJ
he,PRON
understood,VERB
me,PRON
.,PUNCT
"""",PUNCT
Amory,PROPN
became,VERB
thirteen,NUM
",",PUNCT
rather,ADV
tall,ADJ
and,CCONJ
slender,NOUN
",",PUNCT
and,CCONJ
more,ADJ
than,ADP
ever,ADV
on,ADP
to,ADP
his,PRON
Celtic,ADJ
mother,NOUN
.,PUNCT
He,PRON
had,AUX
tutored,VERB
occasionally,ADV
--,PUNCT
the,DET
idea,NOUN
being,AUX
that,SCONJ
he,PRON
was,VERB
to,PART
"""",PUNCT
keep,VERB
up,ADP
",",PUNCT
"""",PUNCT
at,ADP
each,DET
place,NOUN
"""",PUNCT
taking,VERB
up,ADP
the,DET
work,NOUN
where,ADV
